Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Pengurangan Sampah Tahunan (ton/tahun)(B);%Pengurangan Sampah(B/A);Penanganan Sampah Tahunan (ton/tahun)(C);%Penanganan Sampah(C/A);Sampah Terkelola Tahunan (ton/tahun)(B+C);%Sampah Terkelola(B+C)/A;Daur ulang Sampah Tahunan (ton/tahun)(D);Bahan baku Sampah Tahunan (ton/tahun)(E);Recycling Rate(D+E)/A;P1/P2
2022;Aceh;Kab. Aceh Selatan;35217.68;45.36;0.13;12775.00;36.27;12820.36;36.40;0.00;;0.00;P 2
2022;Aceh;Kab. Aceh Tenggara;33332.97;0.00;0.00;10406.88;31.22;10406.88;31.22;;;0.00;P 2
2022;Aceh;Kab. Aceh Timur;63195.95;3610.21;5.71;17550.61;27.77;21160.82;33.48;857.75;;1.36;P 2
2022;Aceh;Kab. Aceh Barat;37021.59;5663.02;15.30;26354.46;71.19;32017.48;86.48;1423.50;;3.85;P 2
2022;Aceh;Kab. Pidie;64897.73;8533.10;13.15;24087.37;37.12;32620.47;50.26;8533.10;;13.15;P 2
2022;Aceh;Kab. Simeulue;16280.89;989.70;6.08;6142.95;37.73;7132.65;43.81;989.70;;6.08;P 2
2022;Aceh;Kab. Aceh Singkil;19261.34;180.31;0.94;1686.30;8.75;1866.61;9.69;180.31;;0.94;P 2
2022;Aceh;Kab. Aceh Barat Daya;28348.09;3083.48;10.88;5475.00;19.31;8558.48;30.19;1164.35;;4.11;P 2
2022;Aceh;Kab. Aceh Jaya;17231.29;19.91;0.12;11439.10;66.39;11459.01;66.50;19.91;;0.12;P 2
2022;Aceh;Kab. Nagan Raya;25315.38;1949.91;7.70;10895.25;43.04;12845.16;50.74;1638.49;;6.47;P 2
2022;Aceh;Kab. Aceh Tamiang;44062.80;0.00;0.00;20075.00;45.56;20075.00;45.56;;;0.00;P 2
2022;Aceh;Kab. Bener Meriah;24084.74;16.37;0.07;9395.10;39.01;9411.47;39.08;14.60;632.55;2.69;P 2
2022;Aceh;Kab. Pidie Jaya;29029.44;3116.73;10.74;4015.00;13.83;7131.73;24.57;;;0.00;P 2
2022;Aceh;Kota Banda Aceh;92055.88;14268.97;15.50;75921.78;82.47;90190.75;97.97;14145.16;;15.37;P 2
2022;Aceh;Kota Sabang;6308.37;26.28;0.42;5971.40;94.66;5997.68;95.07;;;0.00;P 2
2022;Aceh;Kota Langsa;34470.24;4679.47;13.58;25087.91;72.78;29767.38;86.36;428.74;4.02;1.26;P 2
2022;Aceh;Kota Subulussalam;13529.97;;;9125.00;67.44;9125.00;67.44;;;0.00;P 2
2022;Sumatera Utara;Kab. Tapanuli Tengah;67397.25;8182.83;12.14;13249.50;19.66;21432.33;31.80;6662.60;;9.89;P 2
2022;Sumatera Utara;Kab. Nias;21272.35;;;2756.82;12.96;2756.82;12.96;;;0.00;P 2
2022;Sumatera Utara;Kab. Langkat;190323.78;2692.62;1.41;30485.90;16.02;33178.51;17.43;2692.62;190.90;1.52;P 2
2022;Sumatera Utara;Kab. Deli Serdang;411211.01;89943.94;21.87;167962.05;40.85;257905.99;62.72;81986.34;62.05;19.95;P 2
2022;Sumatera Utara;Kab. Simalungun;186444.74;443.51;0.24;45274.60;24.28;45718.11;24.52;7.30;14.60;0.01;P 2
2022;Sumatera Utara;Kab. Asahan;172564.99;40106.00;23.24;24820.00;14.38;64926.00;37.62;0.00;0.00;0.00;P 2
2022;Sumatera Utara;Kab. Toba;35059.00;4405.66;12.57;14092.65;40.20;18498.31;52.76;279.39;;0.80;P 2
2022;Sumatera Utara;Kab. Humbang Hasundutan;21653.73;1532.46;7.08;12559.65;58.00;14092.11;65.08;802.46;624.15;6.59;P 2
2022;Sumatera Utara;Kota Medan;628749.22;60476.25;9.62;457776.43;72.81;518252.68;82.43;58770.24;;9.35;P 2
2022;Sumatera Utara;Kota Pematang Siantar;88121.44;20250.60;22.98;63794.70;72.39;84045.30;95.37;15342.15;;17.41;P 2
2022;Sumatera Utara;Kota Tebing Tinggi;45488.20;8254.31;18.15;30977.55;68.10;39231.86;86.25;7950.30;;17.48;P 2
2022;Sumatera Utara;Kota Padangsidimpuan;59065.98;6679.50;11.31;38325.00;64.89;45004.50;76.19;6679.50;;11.31;P 2
2022;Sumatera Barat;Kab. Pesisir Selatan;55803.17;10037.52;17.99;12994.00;23.29;23031.52;41.27;6833.92;219.00;12.64;P 2
2022;Sumatera Barat;Kab. Solok;57558.60;7000.89;12.16;6253.91;10.87;13254.80;23.03;6981.05;;12.13;P 2
2022;Sumatera Barat;Kab. Sijunjung;35513.89;7308.77;20.58;7365.70;20.74;14674.47;41.32;7287.65;65.70;20.71;P 2
2022;Sumatera Barat;Kab. Tanah Datar;47057.29;8376.95;17.80;17054.44;36.24;25431.40;54.04;8127.00;584.55;18.51;P 2
2022;Sumatera Barat;Kab. Padang Pariaman;79593.54;4.59;0.01;5058.90;6.36;5063.49;6.36;0.90;;0.00;P 2
2022;Sumatera Barat;Kab. Agam;77993.64;9604.82;12.31;21452.48;27.51;31057.30;39.82;9595.58;;12.30;P 2
2022;Sumatera Barat;Kab. Lima Puluh Kota;55954.79;11697.77;20.91;7665.00;13.70;19362.77;34.60;10629.05;;19.00;P 2
2022;Sumatera Barat;Kab. Pasaman;44253.04;10974.72;24.80;15497.90;35.02;26472.62;59.82;2387.95;;5.40;P 2
2022;Sumatera Barat;Kab. Dharmasraya;37831.10;5709.93;15.09;30130.75;79.65;35840.69;94.74;1797.22;;4.75;P 2
2022;Sumatera Barat;Kab. Solok Selatan;26988.68;7248.64;26.86;4394.60;16.28;11643.24;43.14;7227.00;;26.78;P 2
2022;Sumatera Barat;Kab. Pasaman Barat;63876.75;3588.44;5.62;18067.50;28.28;21655.94;33.90;3431.49;;5.37;P 2
2022;Sumatera Barat;Kota Padang;234973.13;49826.51;21.21;170473.25;72.55;220299.76;93.76;24352.67;18.25;10.37;P 2
2022;Sumatera Barat;Kota Solok;19810.19;3481.43;17.57;16296.20;82.26;19777.63;99.84;3332.66;18.20;16.91;P 2
2022;Sumatera Barat;Kota Sawahlunto;6882.56;1701.03;24.72;5069.85;73.66;6770.88;98.38;1392.58;29.20;20.66;P 2
2022;Sumatera Barat;Kota Padang Panjang;17865.14;2709.47;15.17;14778.12;82.72;17487.59;97.89;530.03;;2.97;P 2
2022;Sumatera Barat;Kota Bukittinggi;45707.54;3241.35;7.09;40720.00;89.09;43961.34;96.18;1761.51;2482.00;9.28;P 2
2022;Sumatera Barat;Kota Payakumbuh;36608.81;5771.84;15.77;30678.24;83.80;36450.08;99.57;5362.58;62.04;14.82;P 2
2022;Sumatera Barat;Kota Pariaman;13963.44;1835.78;13.15;9855.00;70.58;11690.78;83.72;1835.78;;13.15;P 2
2022;Riau;Kab. Indragiri Hulu;66173.19;879.21;1.33;8030.00;12.13;8909.21;13.46;4.20;;0.01;P 2
2022;Riau;Kab. Bengkalis;95585.50;9164.13;9.59;67626.59;70.75;76790.73;80.34;8622.03;48.36;9.07;P 2
2022;Riau;Kab. Rokan Hulu;132613.76;25055.16;18.89;21640.85;16.32;46696.01;35.21;6821.21;;5.14;P 2
2022;Riau;Kab. Rokan Hilir;121580.59;2535.89;2.09;18315.70;15.06;20851.59;17.15;2311.35;730.00;2.50;P 2
2022;Riau;Kab. Siak;68135.72;7348.88;10.79;41990.27;61.63;49339.16;72.41;4677.16;59.08;6.95;P 2
2022;Riau;Kab. Kuantan Singingi;50800.55;2792.10;5.50;8030.00;15.81;10822.10;21.30;2677.18;;5.27;P 2
2022;Riau;Kota Pekanbaru;356503.31;21876.37;6.14;243954.15;68.43;265830.52;74.57;21343.89;652.45;6.17;P 2
2022;Riau;Kota Dumai;60559.34;3395.43;5.61;40880.00;67.50;44275.43;73.11;1309.35;175.20;2.45;P 2
2022;Jambi;Kab. Merangin;73778.36;17474.99;23.69;35828.40;48.56;53303.39;72.25;5811.23;20604.25;35.80;P 2
2022;Jambi;Kab. Sarolangun;42865.60;3113.34;7.26;11687.05;27.26;14800.39;34.53;811.40;;1.89;P 2
2022;Jambi;Kab. Bungo;57857.03;12949.12;22.38;29084.07;50.27;42033.19;72.65;9855.36;7585.57;30.14;P 2
2022;Jambi;Kota Jambi;159688.01;35843.83;22.45;119721.46;74.97;155565.29;97.42;11417.20;;7.15;P 2
2022;Jambi;Kota Sungai Penuh;18295.44;3098.70;16.94;13140.00;71.82;16238.70;88.76;2295.70;;12.55;P 2
2022;Sumatera Selatan;Kab. Ogan Komering Ulu;55556.50;12076.37;21.74;20805.00;37.45;32881.37;59.19;11223.02;;20.20;P 2
2022;Sumatera Selatan;Kab. Lahat;98406.85;8172.63;8.30;24312.37;24.71;32485.01;33.01;8172.63;32.94;8.34;P 2
2022;Sumatera Selatan;Kab. Musi Rawas;93259.27;4402.73;4.72;4197.50;4.50;8600.23;9.22;20.66;;0.02;P 2
2022;Sumatera Selatan;Kab. Musi Banyuasin;94145.47;22583.13;23.99;18808.45;19.98;41391.58;43.97;17039.88;;18.10;P 2
2022;Sumatera Selatan;Kab. Banyuasin;211235.90;10536.40;4.99;65700.00;31.10;76236.40;36.09;572.32;;0.27;P 2
2022;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;102981.68;8785.06;8.53;41245.00;40.05;50030.06;48.58;1775.67;;1.72;P 2
2022;Sumatera Selatan;Kab. Penukal Abab Lematang Ilir;37316.32;4119.45;11.04;10788.71;28.91;14908.15;39.95;6.54;;0.02;P 2
2022;Sumatera Selatan;Kota Palembang;439815.66;93169.76;21.18;332185.31;75.53;425355.07;96.71;66434.86;;15.11;P 2
2022;Sumatera Selatan;Kota Prabumulih;35918.19;9246.94;25.74;22995.00;64.02;32241.94;89.76;8524.26;;23.73;P 2
2022;Bengkulu;Kab. Bengkulu Utara;69207.72;16955.22;24.50;15643.90;22.60;32599.12;47.10;3334.27;496.40;5.54;P 2
2022;Bengkulu;Kab. Seluma;38417.16;0.00;0.00;1551.25;4.04;1551.25;4.04;0.00;;0.00;P 2
2022;Bengkulu;Kab. Lebong;29409.84;4375.68;14.88;6570.00;22.34;10945.68;37.22;0.00;;0.00;P 2
2022;Lampung;Kab. Lampung Tengah;161774.75;2609.63;1.61;25550.00;15.79;28159.63;17.41;253.68;8755.44;5.57;P 2
2022;Lampung;Kab. Tanggamus;133452.35;3938.19;2.95;10298.84;7.72;14237.03;10.67;3705.07;;2.78;P 2
2022;Lampung;Kab. Way Kanan;70086.13;2261.12;3.23;6323.02;9.02;8584.15;12.25;560.84;249.42;1.16;P 2
2022;Lampung;Kab. Pringsewu;59396.16;5159.54;8.69;15160.72;25.52;20320.26;34.21;4898.80;501.96;9.09;P 2
2022;Lampung;Kab. Tulang Bawang Barat;41787.68;7288.21;17.44;13140.00;31.44;20428.21;48.89;1389.44;;3.33;P 2
2022;Lampung;Kota Bandar Lampung;287057.55;24330.60;8.48;171550.00;59.76;195880.60;68.24;;;0.00;P 2
2022;Lampung;Kota Metro;38125.71;6222.44;16.32;28618.81;75.06;34841.25;91.39;5807.18;696.31;17.06;P 2
2022;Kepulauan Bangka Belitung;Kab. Bangka;48814.22;4525.77;9.27;25192.49;51.61;29718.26;60.88;2306.72;124.48;4.98;P 2
2022;Kepulauan Bangka Belitung;Kab. Belitung;26864.58;4301.06;16.01;15370.88;57.22;19671.94;73.23;4295.95;10.95;16.03;P 2
2022;Kepulauan Bangka Belitung;Kab. Bangka Tengah;30061.11;5489.43;18.26;4854.50;16.15;10343.93;34.41;2561.80;;8.52;P 2
2022;Kepulauan Bangka Belitung;Kab. Belitung Timur;18585.22;1380.20;7.43;11942.80;64.26;13323.00;71.69;1380.20;;7.43;P 2
2022;Kepulauan Riau;Kab. Bintan;20409.89;2587.33;12.68;14552.55;71.30;17139.88;83.98;1752.15;;8.58;P 2
2022;Kepulauan Riau;Kab. Karimun;68008.22;10088.70;14.83;28105.00;41.33;38193.70;56.16;9128.59;;13.42;P 2
2022;Kepulauan Riau;Kab. Natuna;12475.12;960.00;7.70;5329.00;42.72;6289.00;50.41;960.00;;7.70;P 2
2022;Kepulauan Riau;Kab. Lingga;10376.55;2664.61;25.68;5412.59;52.16;8077.20;77.84;1744.77;120.09;17.97;P 2
2022;Kepulauan Riau;Kab. Kepulauan Anambas;4818.00;287.30;5.96;46.36;0.96;333.65;6.93;120.82;;2.51;P 2
2022;Kepulauan Riau;Kota Batam;413461.60;54830.47;13.26;310313.14;75.05;365143.62;88.31;38511.94;36.50;9.32;P 2
2022;Kepulauan Riau;Kota Tanjung Pinang;56905.36;13196.00;23.19;32982.60;57.96;46178.61;81.15;13196.00;2946.75;28.37;P 2
2022;DKI Jakarta;Kab. Adm. Kep. Seribu;6531.08;1720.40;26.34;4781.56;73.21;6501.95;99.55;1553.01;413.60;30.11;P 2
2022;DKI Jakarta;Kota Adm. Jakarta Pusat;310268.53;80866.00;26.06;229159.18;73.86;310025.18;99.92;63113.86;;20.34;P 2
2022;DKI Jakarta;Kota Adm. Jakarta Utara;499480.75;129974.24;26.02;367265.50;73.53;497239.74;99.55;87190.73;0.31;17.46;P 2
2022;DKI Jakarta;Kota Adm. Jakarta Barat;738547.77;192393.37;26.05;544162.67;73.68;736556.04;99.73;67771.81;430.70;9.23;P 2
2022;DKI Jakarta;Kota Adm. Jakarta Selatan;713300.85;185513.25;26.01;525366.39;73.65;710879.65;99.66;154210.84;;21.62;P 2
2022;DKI Jakarta;Kota Adm. Jakarta Timur;844252.43;221801.48;26.27;622330.48;73.71;844131.96;99.99;192251.10;;22.77;P 2
2022;Jawa Barat;Kab. Bandung;468351.94;152921.82;32.65;161060.36;34.39;313982.18;67.04;151323.12;14383.92;35.38;P 2
2022;Jawa Barat;Kab. Garut;405969.55;40053.06;9.87;81483.33;20.07;121536.39;29.94;39465.93;;9.72;P 2
2022;Jawa Barat;Kab. Ciamis;209758.49;80939.77;38.59;83813.49;39.96;164753.26;78.54;76362.66;29720.49;50.57;P 2
2022;Jawa Barat;Kab. Kuningan;218782.10;4947.02;2.26;117165.00;53.55;122112.02;55.81;2564.72;;1.17;P 2
2022;Jawa Barat;Kab. Sumedang;161592.02;8428.37;5.22;48362.50;29.93;56790.87;35.14;8428.37;;5.22;P 2
2022;Jawa Barat;Kab. Indramayu;406481.07;51690.52;12.72;198348.69;48.80;250039.22;61.51;16251.41;59.90;4.01;P 2
2022;Jawa Barat;Kab. Karawang;366436.49;1219.02;0.33;127385.00;34.76;128604.02;35.10;1096.62;;0.30;P 2
2022;Jawa Barat;Kab. Bekasi;821379.10;19037.12;2.32;224882.88;27.38;243920.01;29.70;0.00;;0.00;P 2
2022;Jawa Barat;Kota Bogor;271727.57;63986.83;23.55;195996.98;72.13;259983.81;95.68;62698.46;209.88;23.15;P 2
2022;Jawa Barat;Kota Sukabumi;65828.41;17181.01;26.10;48553.03;73.76;65734.04;99.86;14003.53;1468.03;23.50;P 2
2022;Jawa Barat;Kota Bandung;581876.52;93497.38;16.07;469653.69;80.71;563151.07;96.78;93358.68;5545.59;17.00;P 2
2022;Jawa Barat;Kota Bekasi;668179.00;29412.83;4.40;365091.25;54.64;394504.08;59.04;4162.00;91.25;0.64;P 2
2022;Jawa Barat;Kota Cimahi;100542.32;17204.42;17.11;60299.46;59.97;77503.88;77.09;16898.55;;16.81;P 2
2022;Jawa Barat;Kota Tasikmalaya;116475.95;19401.40;16.66;75842.62;65.11;95244.02;81.77;19401.40;;16.66;P 2
2022;Jawa Barat;Kota Banjar;31267.80;6569.57;21.01;23792.89;76.09;30362.46;97.10;5320.65;2199.49;24.05;P 2
2022;Jawa Tengah;Kab. Cilacap;347055.78;46992.34;13.54;225940.90;65.10;272933.24;78.64;38522.40;102879.64;40.74;P 2
2022;Jawa Tengah;Kab. Banyumas;195964.49;130961.52;66.83;63649.25;32.48;194610.77;99.31;25301.52;5048.50;15.49;P 2
2022;Jawa Tengah;Kab. Purbalingga;186120.80;2607.25;1.40;40880.00;21.96;43487.25;23.37;;;0.00;P 2
2022;Jawa Tengah;Kab. Kebumen;169013.40;44237.55;26.17;102269.35;60.51;146506.90;86.68;32789.78;2737.50;21.02;P 2
2022;Jawa Tengah;Kab. Purworejo;105694.22;27553.63;26.07;24356.82;23.04;51910.45;49.11;25671.40;1000.47;25.23;P 2
2022;Jawa Tengah;Kab. Wonosobo;133682.56;16638.20;12.45;38325.00;28.67;54963.20;41.11;5145.44;;3.85;P 2
2022;Jawa Tengah;Kab. Boyolali;106781.29;29914.85;28.02;30571.31;28.63;60486.16;56.64;29877.18;458.81;28.41;P 2
2022;Jawa Tengah;Kab. Klaten;234703.44;58588.80;24.96;72010.38;30.68;130599.18;55.64;19971.81;36613.41;24.11;P 2
2022;Jawa Tengah;Kab. Sukoharjo;132101.09;26312.87;19.92;74514.02;56.41;100826.89;76.33;20293.83;13.87;15.37;P 2
2022;Jawa Tengah;Kab. Wonogiri;126917.85;46929.15;36.98;18336.14;14.45;65265.30;51.42;46880.24;33.95;36.96;P 2
2022;Jawa Tengah;Kab. Karanganyar;137065.97;4921.23;3.59;32850.00;23.97;37771.23;27.56;1157.00;;0.84;P 2
2022;Jawa Tengah;Kab. Sragen;215417.38;46077.89;21.39;104977.65;48.73;151055.54;70.12;17319.06;30992.15;22.43;P 2
2022;Jawa Tengah;Kab. Grobogan;310021.75;75925.26;24.49;85622.80;27.62;161548.05;52.11;73665.67;57882.80;42.43;P 2
2022;Jawa Tengah;Kab. Blora;139811.75;36349.83;26.00;103415.45;73.97;139765.28;99.97;18544.23;;13.26;P 2
2022;Jawa Tengah;Kab. Rembang;92026.00;14801.36;16.08;13937.01;15.14;28738.37;31.23;14263.99;4.38;15.50;P 2
2022;Jawa Tengah;Kab. Kudus;163578.95;37913.44;23.18;68334.09;41.77;106247.54;64.95;36728.75;21219.89;35.43;P 2
2022;Jawa Tengah;Kab. Jepara;150516.42;20354.24;13.52;60798.05;40.39;81152.29;53.92;9683.99;1449.05;7.40;P 2
2022;Jawa Tengah;Kab. Demak;263666.36;1800.94;0.68;32850.00;12.46;34650.94;13.14;1800.94;;0.68;P 2
2022;Jawa Tengah;Kab. Semarang;193421.53;25883.47;13.38;75135.25;38.85;101018.72;52.23;12542.52;36.50;6.50;P 2
2022;Jawa Tengah;Kab. Temanggung;146050.37;40682.72;27.86;45764.61;31.33;86447.33;59.19;32028.34;2564.61;23.69;P 2
2022;Jawa Tengah;Kab. Kendal;149652.92;754.57;0.50;59696.30;39.89;60450.86;40.39;586.18;46.61;0.42;P 2
2022;Jawa Tengah;Kab. Batang;207055.41;8601.88;4.15;41975.00;20.27;50576.88;24.43;8.16;;0.00;P 2
2022;Jawa Tengah;Kab. Pekalongan;142569.58;15338.30;10.76;51100.00;35.84;66438.30;46.60;5713.20;;4.01;P 2
2022;Jawa Tengah;Kab. Pemalang;216694.51;56081.45;25.88;128936.62;59.50;185018.06;85.38;56081.45;8486.62;29.80;P 2
2022;Jawa Tengah;Kab. Tegal;306466.23;46706.34;15.24;131765.00;42.99;178471.34;58.24;44365.86;;14.48;P 2
2022;Jawa Tengah;Kab. Brebes;366937.60;2385.77;0.65;48577.85;13.24;50963.62;13.89;6.99;;0.00;P 2
2022;Jawa Tengah;Kota Magelang;29384.62;5758.03;19.60;22019.29;74.93;27777.31;94.53;5745.91;117.71;19.95;P 2
2022;Jawa Tengah;Kota Surakarta;137345.45;18262.64;13.30;116991.99;85.18;135254.63;98.48;11795.34;;8.59;P 2
2022;Jawa Tengah;Kota Salatiga;41668.28;7878.27;18.91;32306.52;77.53;40184.80;96.44;7675.51;3000.67;25.62;P 2
2022;Jawa Tengah;Kota Semarang;431085.22;112850.45;26.18;314187.98;72.88;427038.43;99.06;60774.61;297.48;14.17;P 2
2022;Jawa Tengah;Kota Tegal;79365.97;21059.41;26.53;57421.80;72.35;78481.21;98.89;9551.16;3328.80;16.23;P 2
2022;D.I. Yogyakarta;Kab. Kulon Progo;64730.71;17612.65;27.21;11680.00;18.04;29292.65;45.25;17507.93;;27.05;P 2
2022;D.I. Yogyakarta;Kab. Gunungkidul;137871.89;29401.68;21.33;18363.88;13.32;47765.56;34.64;28917.04;77.38;21.03;P 2
2022;D.I. Yogyakarta;Kota Yogyakarta;110642.60;12384.62;11.19;97699.18;88.30;110083.80;99.49;12384.62;612.83;11.75;P 2
2022;Jawa Timur;Kab. Pacitan;104999.96;12210.47;11.63;14256.53;13.58;26467.00;25.21;12193.65;499.69;12.09;P 2
2022;Jawa Timur;Kab. Ponorogo;139552.64;29879.29;21.41;85038.07;60.94;114917.35;82.35;27603.92;1088.07;20.56;P 2
2022;Jawa Timur;Kab. Trenggalek;111498.74;18521.47;16.61;57305.00;51.40;75826.47;68.01;15478.20;;13.88;P 2
2022;Jawa Timur;Kab. Tulungagung;202148.86;35146.74;17.39;54677.00;27.05;89823.74;44.43;34743.54;12702.00;23.47;P 2
2022;Jawa Timur;Kab. Kediri;240082.40;16821.08;7.01;45907.26;19.12;62728.34;26.13;15221.48;1550.63;6.99;P 2
2022;Jawa Timur;Kab. Malang;350614.09;34732.75;9.91;145007.20;41.36;179739.95;51.26;34391.22;;9.81;P 2
2022;Jawa Timur;Kab. Lumajang;191446.12;35953.65;18.78;66857.60;34.92;102811.26;53.70;20795.96;281.60;11.01;P 2
2022;Jawa Timur;Kab. Jember;370362.43;4854.28;1.31;99170.50;26.78;104024.78;28.09;176.06;255.50;0.12;P 2
