Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Pengurangan Sampah Tahunan (ton/tahun)(B);%Pengurangan Sampah(B/A);Penanganan Sampah Tahunan (ton/tahun)(C);%Penanganan Sampah(C/A);Sampah Terkelola Tahunan (ton/tahun)(B+C);%Sampah Terkelola(B+C)/A;Daur ulang Sampah Tahunan (ton/tahun)(D);Bahan baku Sampah Tahunan (ton/tahun)(E);Recycling Rate(D+E)/A;P1/P2
2022;Jawa Timur;Kab. Banyuwangi;297078.45;37514.19;12.63;49024.24;16.50;86538.43;29.13;26890.56;201.85;9.12;P 2
2022;Jawa Timur;Kab. Situbondo;93891.73;15982.16;17.02;58037.77;61.81;74019.93;78.84;4736.37;6526.20;12.00;P 2
2022;Jawa Timur;Kab. Mojokerto;168322.61;44680.60;26.54;49268.72;29.27;93949.32;55.82;43598.50;;25.90;P 2
2022;Jawa Timur;Kab. Jombang;193583.44;26052.49;13.46;53947.00;27.87;79999.49;41.33;25794.72;146.00;13.40;P 2
2022;Jawa Timur;Kab. Nganjuk;162107.74;20132.64;12.42;45278.98;27.93;65411.62;40.35;18768.62;17779.88;22.55;P 2
2022;Jawa Timur;Kab. Magetan;100647.87;31102.31;30.90;16719.92;16.61;47822.23;47.51;30554.81;714.67;31.07;P 2
2022;Jawa Timur;Kab. Ngawi;130696.23;25377.49;19.42;29125.18;22.28;54502.67;41.70;17470.90;1202.68;14.29;P 2
2022;Jawa Timur;Kab. Bojonegoro;137271.36;25031.69;18.24;22669.32;16.51;47701.01;34.75;17080.83;146.00;12.55;P 2
2022;Jawa Timur;Kab. Tuban;184439.37;47329.56;25.66;55489.13;30.09;102818.69;55.75;27041.67;2564.13;16.05;P 2
2022;Jawa Timur;Kab. Lamongan;83240.85;11049.32;13.27;21900.00;26.31;32949.32;39.58;10604.90;;12.74;P 2
2022;Jawa Timur;Kab. Gresik;142835.43;21085.73;14.76;87963.22;61.58;109048.95;76.35;5548.83;6184.97;8.21;P 2
2022;Jawa Timur;Kab. Sampang;169511.29;2573.16;1.52;14315.12;8.44;16888.28;9.96;468.65;810.12;0.75;P 2
2022;Jawa Timur;Kab. Pamekasan;101140.55;16088.31;15.91;41377.39;40.91;57465.70;56.82;15843.55;41.14;15.71;P 2
2022;Jawa Timur;Kab. Sumenep;132197.86;12773.21;9.66;12543.83;9.49;25317.04;19.15;7840.31;133.83;6.03;P 2
2022;Jawa Timur;Kota Kediri;65183.70;9670.58;14.84;54380.98;83.43;64051.56;98.26;3264.51;679.63;6.05;P 2
2022;Jawa Timur;Kota Blitar;27732.70;3720.74;13.42;23382.80;84.31;27103.53;97.73;3571.73;1015.60;16.54;P 2
2022;Jawa Timur;Kota Malang;279148.37;71590.88;25.65;202226.44;72.44;273817.33;98.09;71468.32;11032.14;29.55;P 2
2022;Jawa Timur;Kota Probolinggo;35465.15;3893.65;10.98;24957.57;70.37;28851.22;81.35;3157.93;136.51;9.29;P 2
2022;Jawa Timur;Kota Pasuruan;53297.25;13117.54;24.61;39137.49;73.43;52255.02;98.04;13117.54;;24.61;P 2
2022;Jawa Timur;Kota Mojokerto;24420.33;5259.94;21.54;18907.00;77.42;24166.94;98.96;2866.59;;11.74;P 2
2022;Jawa Timur;Kota Madiun;44219.80;11499.80;26.01;32321.74;73.09;43821.54;99.10;3873.85;349.56;9.55;P 2
2022;Jawa Timur;Kota Surabaya;651043.42;39808.64;6.11;607016.55;93.24;646825.19;99.35;9006.85;39224.87;7.41;P 2
2022;Jawa Timur;Kota Batu;49359.46;6286.22;12.74;41975.00;85.04;48261.22;97.78;6190.82;;12.54;P 2
2022;Banten;Kab. Lebak;215885.24;8868.89;4.11;40880.00;18.94;49748.89;23.04;7426.24;;3.44;P 2
2022;Banten;Kab. Tangerang;841497.68;11858.98;1.41;498590.00;59.25;510448.98;60.66;11858.98;;1.41;P 2
2022;Banten;Kab. Serang;414581.97;148.28;0.04;30752.09;7.42;30900.37;7.45;148.28;;0.04;P 2
2022;Banten;Kota Tangerang;504258.12;59122.28;11.72;444855.24;88.22;503977.52;99.94;23884.76;1070.00;4.95;P 2
2022;Banten;Kota Cilegon;83169.08;2809.17;3.38;66430.00;79.87;69239.17;83.25;2809.17;;3.38;P 2
2022;Banten;Kota Serang;213464.02;1642.25;0.77;119514.51;55.99;121156.76;56.76;1626.47;;0.76;P 2
2022;Banten;Kota Tangerang Selatan;355009.43;81786.00;23.04;271510.54;76.48;353296.55;99.52;81786.00;267.00;23.11;P 2
2022;Bali;Kab. Jembrana;59472.92;10456.37;17.58;24856.50;41.79;35312.87;59.38;9806.35;;16.49;P 2
2022;Bali;Kab. Badung;119474.58;24445.58;20.46;87064.36;72.87;111509.95;93.33;24125.18;705.36;20.78;P 2
2022;Bali;Kab. Gianyar;196698.50;5237.73;2.66;169725.00;86.29;174962.73;88.95;4966.53;;2.52;P 2
2022;Bali;Kab. Klungkung;37643.55;494.61;1.31;26049.21;69.20;26543.81;70.51;119.00;3006.76;8.30;P 2
2022;Bali;Kab. Bangli;40836.05;7415.83;18.16;21552.16;52.78;28967.98;70.94;3546.34;260.98;9.32;P 2
2022;Bali;Kab. Karangasem;113711.83;31988.60;28.13;43800.00;38.52;75788.60;66.65;5628.77;;4.95;P 2
2022;Bali;Kab. Buleleng;143283.67;24306.89;16.96;56848.75;39.68;81155.64;56.64;23900.17;237.25;16.85;P 2
2022;Bali;Kota Denpasar;316312.65;45876.03;14.50;258120.94;81.60;303996.98;96.11;45876.03;365.00;14.62;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Barat;105336.08;14.83;0.01;23360.16;22.18;23374.99;22.19;14.83;0.16;0.01;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Tengah;153263.50;23461.58;15.31;22630.00;14.77;46091.58;30.07;23457.93;2555.00;16.97;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Timur;196209.55;44382.67;22.62;58208.74;29.67;102591.41;52.29;34895.03;20.44;17.79;P 2
2022;Nusa Tenggara Barat;Kab. Sumbawa;94820.43;2612.18;2.75;45786.50;48.29;48398.68;51.04;2612.18;;2.75;P 2
2022;Nusa Tenggara Barat;Kab. Bima;101102.08;37.44;0.04;11509.18;11.38;11546.62;11.42;37.44;;0.04;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Utara;37446.08;4625.89;12.35;20167.35;53.86;24793.24;66.21;225.06;;0.60;P 2
2022;Nusa Tenggara Barat;Kota Mataram;96436.87;13879.41;14.39;81362.72;84.37;95242.12;98.76;13424.13;29.77;13.95;P 2
2022;Nusa Tenggara Barat;Kota Bima;30189.37;14.24;0.05;28908.00;95.76;28922.24;95.80;14.24;;0.05;P 2
2022;Nusa Tenggara Timur;Kab. Manggarai Barat;30972.44;884.13;2.85;6268.51;20.24;7152.64;23.09;884.13;63.51;3.06;P 2
2022;Nusa Tenggara Timur;Kota Kupang;83192.63;5198.66;6.25;58396.35;70.19;63595.01;76.44;4374.88;;5.26;P 2
2022;Kalimantan Barat;Kab. Sambas;116112.00;2624.81;2.26;22188.47;19.11;24813.27;21.37;2592.29;;2.23;P 2
2022;Kalimantan Barat;Kab. Mempawah;30669.65;40.04;0.13;9037.40;29.47;9077.44;29.60;1.08;;0.00;P 2
2022;Kalimantan Barat;Kab. Sanggau;89841.83;33.85;0.04;18257.30;20.32;18291.15;20.36;5.38;;0.01;P 2
2022;Kalimantan Barat;Kab. Kapuas Hulu;48663.81;32.49;0.07;9033.75;18.56;9066.24;18.63;32.49;;0.07;P 2
2022;Kalimantan Barat;Kota Pontianak;146560.71;34453.51;23.51;107683.71;73.47;142137.21;96.98;30978.79;559.86;21.52;P 2
2022;Kalimantan Barat;Kota Singkawang;34297.93;5401.23;15.75;25882.15;75.46;31283.38;91.21;5137.44;;14.98;P 2
2022;Kalimantan Tengah;Kab. Kotawaringin Barat;49736.91;10753.08;21.62;26128.53;52.53;36881.60;74.15;8875.24;;17.84;P 2
2022;Kalimantan Tengah;Kab. Kapuas;77235.83;1666.37;2.16;8059.93;10.44;9726.30;12.59;1076.17;29.93;1.43;P 2
2022;Kalimantan Tengah;Kab. Barito Selatan;24439.67;1227.56;5.02;2583.98;10.57;3811.55;15.60;1222.99;;5.00;P 2
2022;Kalimantan Tengah;Kab. Barito Utara;22603.87;1455.00;6.44;9168.80;40.56;10623.80;47.00;1455.00;43.80;6.63;P 2
2022;Kalimantan Tengah;Kab. Seruyan;29999.35;16.93;0.06;5999.69;20.00;6016.62;20.06;3.65;889.69;2.98;P 2
2022;Kalimantan Tengah;Kab. Gunung Mas;37058.36;311.34;0.84;6175.47;16.66;6486.81;17.50;311.34;;0.84;P 2
2022;Kalimantan Tengah;Kab. Pulang Pisau;24945.74;0.10;0.00;1547.60;6.20;1547.70;6.20;;;0.00;P 2
2022;Kalimantan Tengah;Kab. Murung Raya;20339.81;771.84;3.79;4015.00;19.74;4786.84;23.53;501.77;;2.47;P 2
2022;Kalimantan Tengah;Kab. Barito Timur;16798.32;308.38;1.84;4055.15;24.14;4363.53;25.98;308.38;;1.84;P 2
2022;Kalimantan Tengah;Kota Palangkaraya;55448.06;14523.38;26.19;40111.13;72.34;54634.51;98.53;12196.07;446.58;22.80;P 2
2022;Kalimantan Selatan;Kab. Tanah Laut;51807.37;2908.39;5.61;14884.70;28.73;17793.09;34.34;11.85;0.00;0.02;P 2
2022;Kalimantan Selatan;Kab. Kotabaru;66143.51;5649.18;8.54;12968.45;19.61;18617.63;28.15;511.00;;0.77;P 2
2022;Kalimantan Selatan;Kab. Banjar;149097.33;8721.79;5.85;105913.88;71.04;114635.66;76.89;1160.13;63.88;0.82;P 2
2022;Kalimantan Selatan;Kab. Barito Kuala;35179.83;7995.35;22.73;18724.50;53.23;26719.85;75.95;5966.76;2847.00;25.05;P 2
2022;Kalimantan Selatan;Kab. Tapin;29966.79;4829.02;16.11;16674.37;55.64;21503.39;71.76;4621.47;614.37;17.47;P 2
2022;Kalimantan Selatan;Kab. Hulu Sungai Selatan;35330.10;7549.79;21.37;18733.62;53.02;26283.41;74.39;2195.68;2454.63;13.16;P 2
2022;Kalimantan Selatan;Kab. Hulu Sungai Tengah;38070.08;7624.85;20.03;21803.82;57.27;29428.67;77.30;6828.12;519.58;19.30;P 2
2022;Kalimantan Selatan;Kab. Tabalong;37507.84;8381.51;22.35;26798.30;71.45;35179.82;93.79;3332.34;7.30;8.90;P 2
2022;Kalimantan Selatan;Kab. Tanah Bumbu;60743.48;10230.25;16.84;46498.81;76.55;56729.06;93.39;8606.00;;14.17;P 2
2022;Kalimantan Selatan;Kab. Balangan;20576.25;4025.70;19.56;14782.50;71.84;18808.20;91.41;2927.13;;14.23;P 2
2022;Kalimantan Selatan;Kota Banjarbaru;67079.71;16105.05;24.01;50897.02;75.88;67002.08;99.88;12200.93;1233.30;20.03;P 2
2022;Kalimantan Timur;Kab. Paser;43300.97;4574.67;10.56;26276.86;60.68;30851.53;71.25;2750.16;98.75;6.58;P 2
2022;Kalimantan Timur;Kab. Kutai Kartanegara;114524.75;18837.22;16.45;80372.27;70.18;99209.49;86.63;13819.93;91.76;12.15;P 2
2022;Kalimantan Timur;Kab. Berau;49801.88;9736.58;19.55;24936.80;50.07;34673.38;69.62;8414.85;;16.90;P 2
2022;Kalimantan Timur;Kab. Kutai Barat;25639.06;0.00;0.00;10482.97;40.89;10482.97;40.89;;;0.00;P 2
2022;Kalimantan Timur;Kab. Kutai Timur;77674.37;9944.70;12.80;35748.10;46.02;45692.80;58.83;5464.94;3628.10;11.71;P 2
2022;Kalimantan Timur;Kab. Penajam Paser Utara;35033.98;7891.81;22.53;21429.15;61.17;29320.96;83.69;1644.52;259.15;5.43;P 2
2022;Kalimantan Timur;Kab. Mahakam Ulu;5584.64;;;1460.00;26.14;1460.00;26.14;;;0.00;P 2
2022;Kalimantan Timur;Kota Balikpapan;187875.03;48848.58;26.00;137337.89;73.10;186186.46;99.10;35703.86;545.30;19.29;P 2
2022;Kalimantan Timur;Kota Samarinda;214347.89;42046.54;19.62;171784.81;80.14;213831.34;99.76;36488.18;759.55;17.38;P 2
2022;Kalimantan Timur;Kota Bontang;38046.40;10185.67;26.77;27731.41;72.89;37917.08;99.66;9678.29;442.92;26.60;P 2
2022;Kalimantan Utara;Kab. Nunukan;15576.81;3831.33;24.60;7897.21;50.70;11728.54;75.29;2412.79;1845.51;27.34;P 2
2022;Kalimantan Utara;Kab. Tana Tidung;5177.89;5.02;0.10;4097.71;79.14;4102.73;79.24;5.02;;0.10;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow;45712.24;3966.30;8.68;7300.00;15.97;11266.30;24.65;8.00;;0.02;P 2
2022;Sulawesi Utara;Kab. Minahasa;63632.82;17144.28;26.94;41245.00;64.82;58389.28;91.76;17041.85;;26.78;P 2
2022;Sulawesi Utara;Kab. Kepulauan Sangihe;20393.86;1135.74;5.57;11811.40;57.92;12947.14;63.49;5.31;;0.03;P 2
2022;Sulawesi Utara;Kab. Minahasa Selatan;34523.60;4203.66;12.18;11265.00;32.63;15468.66;44.81;882.87;8.40;2.58;P 2
2022;Sulawesi Utara;Kab. Minahasa Utara;43114.17;5006.61;11.61;22885.50;53.08;27892.11;64.69;992.35;;2.30;P 2
2022;Sulawesi Utara;Kab. Minahasa Tenggara;16840.95;1641.93;9.75;7965.03;47.30;9606.96;57.05;30.00;8.03;0.23;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Utara;12651.86;426.50;3.37;5657.50;44.72;6084.00;48.09;;;0.00;P 2
2022;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;10776.55;619.40;5.75;3244.85;30.11;3864.25;35.86;;40.15;0.37;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Timur;13476.24;675.25;5.01;912.50;6.77;1587.75;11.78;;0.00;0.00;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;10553.46;9.75;0.09;1533.00;14.53;1542.75;14.62;;;0.00;P 2
2022;Sulawesi Utara;Kota Manado;106241.06;5297.94;4.99;80957.00;76.20;86254.94;81.19;3455.14;657.00;3.87;P 2
2022;Sulawesi Utara;Kota Bitung;58055.22;2418.54;4.17;41245.00;71.04;43663.54;75.21;81.03;;0.14;P 2
2022;Sulawesi Utara;Kota Tomohon;18510.43;1638.83;8.85;13870.00;74.93;15508.83;83.78;;;0.00;P 2
2022;Sulawesi Utara;Kota Kotamobagu;31463.80;4554.80;14.48;22100.75;70.24;26655.55;84.72;2638.49;155.13;8.88;P 2
2022;Sulawesi Tengah;Kab. Banggai;68767.46;3965.61;5.77;44451.53;64.64;48417.14;70.41;424.33;3.29;0.62;P 2
2022;Sulawesi Tengah;Kab. Donggala;44232.89;1482.29;3.35;6834.99;15.45;8317.29;18.80;926.81;9.49;2.12;P 2
2022;Sulawesi Tengah;Kab. Morowali;30643.58;673.06;2.20;4262.58;13.91;4935.64;16.11;0.00;0.58;0.00;P 2
2022;Sulawesi Tengah;Kab. Parigi Moutong;82582.53;1687.38;2.04;5658.96;6.85;7346.34;8.90;1683.27;1.46;2.04;P 2
2022;Sulawesi Tengah;Kab. Sigi;47008.35;4429.30;9.42;10599.60;22.55;15028.90;31.97;266.85;;0.57;P 2
2022;Sulawesi Tengah;Kab. Banggai Laut;13549.90;208.08;1.54;4215.75;31.11;4423.83;32.65;208.08;;1.54;P 2
2022;Sulawesi Tengah;Kab. Morowali Utara;22308.80;;;3131.70;14.04;3131.70;14.04;;;0.00;P 2
2022;Sulawesi Tengah;Kota Palu;74073.65;6673.48;9.01;62513.55;84.39;69187.03;93.40;604.26;;0.82;P 2
2022;Sulawesi Selatan;Kab. Kepulauan Selayar;20144.20;1030.46;5.12;5381.59;26.72;6412.05;31.83;897.24;;4.45;P 2
2022;Sulawesi Selatan;Kab. Bulukumba;65304.63;14131.96;21.64;47756.60;73.13;61888.56;94.77;2100.35;306.60;3.69;P 2
2022;Sulawesi Selatan;Kab. Bantaeng;29562.37;7596.73;25.70;9714.11;32.86;17310.84;58.56;7207.71;647.51;26.57;P 2
2022;Sulawesi Selatan;Kab. Jeneponto;59204.17;4938.25;8.34;20963.78;35.41;25902.03;43.75;2634.76;67.53;4.56;P 2
2022;Sulawesi Selatan;Kab. Sinjai;39319.84;9823.36;24.98;26451.55;67.27;36274.91;92.26;7440.53;;18.92;P 2
2022;Sulawesi Selatan;Kab. Bone;148115.18;23954.62;16.17;72927.00;49.24;96881.62;65.41;21917.80;;14.80;P 2
2022;Sulawesi Selatan;Kab. Maros;58951.00;13437.24;22.79;30112.50;51.08;43549.74;73.87;3292.65;182.50;5.89;P 2
2022;Sulawesi Selatan;Kab. Pangkajene Kepulauan;51530.55;5977.39;11.60;21911.01;42.52;27888.40;54.12;5456.27;11.01;10.61;P 2
2022;Sulawesi Selatan;Kab. Soppeng;34393.80;3883.03;11.29;22795.35;66.28;26678.38;77.57;3160.51;102.20;9.49;P 2
2022;Sulawesi Selatan;Kab. Wajo;55428.46;3161.89;5.70;41705.56;75.24;44867.45;80.95;1274.79;105.78;2.49;P 2
2022;Sulawesi Selatan;Kab. Sidenreng Rappang;47186.32;9182.19;19.46;26174.02;55.47;35356.22;74.93;8941.07;437.87;19.88;P 2
2022;Sulawesi Selatan;Kab. Pinrang;65861.77;15238.71;23.14;29183.87;44.31;44422.58;67.45;15089.11;;22.91;P 2
2022;Sulawesi Selatan;Kab. Enrekang;41740.67;6814.98;16.33;14308.00;34.28;21122.98;50.61;4913.33;4088.00;21.56;P 2
2022;Sulawesi Selatan;Kab. Luwu Timur;43874.61;6848.42;15.61;24528.00;55.90;31376.42;71.51;5636.91;73.00;13.01;P 2
2022;Sulawesi Selatan;Kab. Toraja Utara;57847.76;3068.63;5.30;16790.00;29.02;19858.63;34.33;3047.17;;5.27;P 2
2022;Sulawesi Selatan;Kota Parepare;28388.97;4813.84;16.96;21121.71;74.40;25935.55;91.36;1707.63;6.46;6.04;P 2
2022;Sulawesi Selatan;Kota Palopo;34187.91;2024.37;5.92;23086.25;67.53;25110.62;73.45;278.24;91.25;1.08;P 2
2022;Sulawesi Tenggara;Kab. Kolaka;44021.60;3234.49;7.35;12811.50;29.10;16045.99;36.45;3225.87;36.50;7.41;P 2
2022;Sulawesi Tenggara;Kab. Wakatobi;29455.57;5593.44;18.99;11209.15;38.05;16802.59;57.04;;7.30;0.02;P 2
2022;Sulawesi Tenggara;Kab. Kolaka Utara;20340.57;1150.77;5.66;4311.11;21.19;5461.89;26.85;678.73;113.61;3.90;P 2
2022;Sulawesi Tenggara;Kab. Buton Selatan;8026.71;;;1204.50;15.01;1204.50;15.01;;;0.00;P 2
2022;Sulawesi Tenggara;Kota Kendari;98476.88;18528.30;18.81;73328.94;74.46;91857.24;93.28;3299.91;328.94;3.68;P 2
2022;Sulawesi Tenggara;Kota Bau Bau;29923.25;3284.53;10.98;26280.00;87.82;29564.53;98.80;3212.00;;10.73;P 2
2022;Gorontalo;Kab. Gorontalo;57762.71;466.95;0.81;7639.45;13.23;8106.40;14.03;0.00;0.00;0.00;P 2
2022;Gorontalo;Kab. Bone Bolango;18198.90;2612.08;14.35;3546.70;19.49;6158.78;33.84;432.53;232.51;3.65;P 2
2022;Gorontalo;Kab. Pohuwato;21562.59;6725.84;31.19;6265.04;29.06;12990.88;60.25;5501.20;3118.74;39.98;P 2
2022;Gorontalo;Kota Gorontalo;51646.51;12541.70;24.28;36748.20;71.15;49289.90;95.44;11231.41;365.00;22.45;P 2
2022;Sulawesi Barat;Kab. Majene;25898.94;763.02;2.95;11242.00;43.41;12005.02;46.35;723.52;;2.79;P 2
2022;Sulawesi Barat;Kab. Mamuju Tengah;20057.48;0.00;0.00;4745.00;23.66;4745.00;23.66;;;0.00;P 2
2022;Maluku;Kab. Maluku Tengah;62010.58;35.68;0.06;4745.00;7.65;4780.68;7.71;35.68;;0.06;P 2
2022;Maluku;Kab. Buru Selatan;11355.30;804.36;7.08;7635.80;67.24;8440.16;74.33;;;0.00;P 2
2022;Maluku Utara;Kab. Halmahera Utara;50497.02;517.21;1.02;12233.00;24.23;12750.21;25.25;517.21;;1.02;P 2
2022;Maluku Utara;Kota Tidore Kepulauan;16904.46;1598.62;9.46;11065.92;65.46;12664.54;74.92;1598.62;13.72;9.54;P 2
2022;Papua;Kab. Jayapura;31360.25;5665.65;18.07;23849.10;76.05;29514.75;94.12;5493.25;;17.52;P 2
2022;Papua;Kab. Kepulauan Yapen;16779.78;40.79;0.24;15899.40;94.75;15940.19;95.00;36.50;;0.22;P 2
2022;Papua;Kab. Biak Numfor;21434.55;3954.15;18.45;14800.75;69.05;18754.90;87.50;3863.50;18.25;18.11;P 2
2022;Papua;Kab. Sarmi;6109.95;0.00;0.00;2168.10;35.48;2168.10;35.48;;;0.00;P 2
2022;Papua;Kab. Waropen;5285.20;3.03;0.06;2190.00;41.44;2193.03;41.49;3.03;;0.06;P 2
2022;Papua;Kota Jayapura;79528.32;958.06;1.20;65692.70;82.60;66650.76;83.81;556.05;;0.70;P 2
2022;Papua Barat;Kab. Manokwari;59627.83;365.00;0.61;40861.75;68.53;41226.75;69.14;365.00;;0.61;P 2
2022;Papua Barat;Kab. Teluk Wondama;6697.17;0.00;0.00;2131.97;31.83;2131.97;31.83;;;0.00;P 2
2022;Papua Barat;Kab. Kaimana;9290.42;13.36;0.14;4595.35;49.46;4608.71;49.61;12.78;;0.14;P 2
2022;Papua Selatan;Kab. Merauke;33924.12;935.62;2.76;13172.12;38.83;14107.74;41.59;620.98;50.37;1.98;P 2
2022;Papua Selatan;Kab. Boven Digoel;9518.18;0.00;0.00;2153.50;22.63;2153.50;22.63;;;0.00;P 2
2022;Papua Selatan;Kab. Asmat;16624.29;178.65;1.07;3285.00;19.76;3463.65;20.83;164.25;;0.99;P 2
2022;Papua Tengah;Kab. Mimika;57742.09;0.00;0.00;29901.71;51.78;29901.71;51.78;;;0.00;P 2
2022;Papua Barat Daya;Kab. Sorong;18162.69;1343.48;7.40;5179.35;28.52;6522.83;35.91;885.99;;4.88;P 2
